"ParkName","UnitCode","ParkType","Region","State","Year","Month","RecreationVisits","NonRecreationVisits","RecreationHours","NonRecreationHours","ConcessionerLodging","ConcessionerCamping","TentCampers","RVCampers","Backcountry","NonRecreationOvernightStays","MiscellaneousOvernightStays","ParkNameTotal","UnitCodeTotal","ParkTypeTotal","RegionTotal","StateTotal","YearTotal","RecreationVisitsTotal","NonRecreationVisitsTotal","RecreationHoursTotal","NonRecreationHoursTotal","ConcessionerLodgingTotal","ConcessionerCampingTotal","TentCampersTotal","RVCampersTotal","BackcountryTotal","NonRecreationOvernightStaysTotal","MiscellaneousOvernightStaysTotal"
"Mesa Verde NP","MEVE","National Park","Intermountain ","CO",2017,1,"5,601","84","25,206","84","0","0","0","0","0","0","0","Mesa Verde NP","MEVE","National Park","Intermountain ","CO",2017,"613,788","9,012","4,000,241","9,012","21,822","0","29,879","16,808","0","0","279"
"Mesa Verde NP","MEVE","National Park","Intermountain ","CO",2017,2,"5,737","0","25,815","0","0","0","0","0","0","0","0","Mesa Verde NP","MEVE","National Park","Intermountain ","CO",2017,"613,788","9,012","4,000,241","9,012","21,822","0","29,879","16,808","0","0","279"
"Mesa Verde NP","MEVE","National Park","Intermountain ","CO",2017,3,"21,016","254","94,570","254","0","0","0","0","0","0","0","Mesa Verde NP","MEVE","National Park","Intermountain ","CO",2017,"613,788","9,012","4,000,241","9,012","21,822","0","29,879","16,808","0","0","279"
"Mesa Verde NP","MEVE","National Park","Intermountain ","CO",2017,4,"34,568","632","188,623","632","1,162","0","402","272","0","0","0","Mesa Verde NP","MEVE","National Park","Intermountain ","CO",2017,"613,788","9,012","4,000,241","9,012","21,822","0","29,879","16,808","0","0","279"
"Mesa Verde NP","MEVE","National Park","Intermountain ","CO",2017,5,"64,239","1,672","529,618","1,672","3,086","0","9,015","1,148","0","0","115","Mesa Verde NP","MEVE","National Park","Intermountain ","CO",2017,"613,788","9,012","4,000,241","9,012","21,822","0","29,879","16,808","0","0","279"
"Mesa Verde NP","MEVE","National Park","Intermountain ","CO",2017,6,"111,130","1,941","698,942","1,941","3,836","0","6,022","1,115","0","0","74","Mesa Verde NP","MEVE","National Park","Intermountain ","CO",2017,"613,788","9,012","4,000,241","9,012","21,822","0","29,879","16,808","0","0","279"
"Mesa Verde NP","MEVE","National Park","Intermountain ","CO",2017,7,"119,918","2,028","792,575","2,028","3,696","0","5,155","5,178","0","0","24","Mesa Verde NP","MEVE","National Park","Intermountain ","CO",2017,"613,788","9,012","4,000,241","9,012","21,822","0","29,879","16,808","0","0","279"
"Mesa Verde NP","MEVE","National Park","Intermountain ","CO",2017,8,"96,470","1,683","593,623","1,683","3,463","0","4,232","1,155","0","0","11","Mesa Verde NP","MEVE","National Park","Intermountain ","CO",2017,"613,788","9,012","4,000,241","9,012","21,822","0","29,879","16,808","0","0","279"
"Mesa Verde NP","MEVE","National Park","Intermountain ","CO",2017,9,"77,036","718","578,780","718","3,975","0","3,645","5,232","0","0","43","Mesa Verde NP","MEVE","National Park","Intermountain ","CO",2017,"613,788","9,012","4,000,241","9,012","21,822","0","29,879","16,808","0","0","279"
"Mesa Verde NP","MEVE","National Park","Intermountain ","CO",2017,10,"51,351","0","352,240","0","2,604","0","1,408","2,708","0","0","12","Mesa Verde NP","MEVE","National Park","Intermountain ","CO",2017,"613,788","9,012","4,000,241","9,012","21,822","0","29,879","16,808","0","0","279"
"Mesa Verde NP","MEVE","National Park","Intermountain ","CO",2017,11,"14,824","0","66,706","0","0","0","0","0","0","0","0","Mesa Verde NP","MEVE","National Park","Intermountain ","CO",2017,"613,788","9,012","4,000,241","9,012","21,822","0","29,879","16,808","0","0","279"
"Mesa Verde NP","MEVE","National Park","Intermountain ","CO",2017,12,"11,898","0","53,543","0","0","0","0","0","0","0","0","Mesa Verde NP","MEVE","National Park","Intermountain ","CO",2017,"613,788","9,012","4,000,241","9,012","21,822","0","29,879","16,808","0","0","279"
"Rocky Mountain NP","ROMO","National Park","Intermountain ","CO",2017,1,"95,602","90","581,214","90","0","0","204","132","95","0","44","Rocky Mountain NP","ROMO","National Park","Intermountain ","CO",2017,"4,437,215","8,750","30,464,697","26,250","0","0","124,179","57,627","45,194","0","13,088"
"Rocky Mountain NP","ROMO","National Park","Intermountain ","CO",2017,2,"98,832","50","599,822","50","0","0","168","111","148","0","0","Rocky Mountain NP","ROMO","National Park","Intermountain ","CO",2017,"4,437,215","8,750","30,464,697","26,250","0","0","124,179","57,627","45,194","0","13,088"
"Rocky Mountain NP","ROMO","National Park","Intermountain ","CO",2017,3,"145,110","80","891,621","80","0","0","681","198","431","0","0","Rocky Mountain NP","ROMO","National Park","Intermountain ","CO",2017,"4,437,215","8,750","30,464,697","26,250","0","0","124,179","57,627","45,194","0","13,088"
"Rocky Mountain NP","ROMO","National Park","Intermountain ","CO",2017,4,"158,360","70","988,927","70","0","0","1,248","843","325","0","7","Rocky Mountain NP","ROMO","National Park","Intermountain ","CO",2017,"4,437,215","8,750","30,464,697","26,250","0","0","124,179","57,627","45,194","0","13,088"
"Rocky Mountain NP","ROMO","National Park","Intermountain ","CO",2017,5,"263,222","490","1,779,875","490","0","0","7,158","3,378","1,777","0","221","Rocky Mountain NP","ROMO","National Park","Intermountain ","CO",2017,"4,437,215","8,750","30,464,697","26,250","0","0","124,179","57,627","45,194","0","13,088"
"Rocky Mountain NP","ROMO","National Park","Intermountain ","CO",2017,6,"741,247","1,400","5,297,116","1,400","0","0","27,714","13,623","8,330","0","3,435","Rocky Mountain NP","ROMO","National Park","Intermountain ","CO",2017,"4,437,215","8,750","30,464,697","26,250","0","0","124,179","57,627","45,194","0","13,088"
"Rocky Mountain NP","ROMO","National Park","Intermountain ","CO",2017,7,"885,478","2,050","6,390,211","2,050","0","0","33,708","13,332","14,786","0","5,508","Rocky Mountain NP","ROMO","National Park","Intermountain ","CO",2017,"4,437,215","8,750","30,464,697","26,250","0","0","124,179","57,627","45,194","0","13,088"
"Rocky Mountain NP","ROMO","National Park","Intermountain ","CO",2017,8,"782,625","2,300","5,652,470","2,300","0","0","31,401","13,074","11,498","0","3,822","Rocky Mountain NP","ROMO","National Park","Intermountain ","CO",2017,"4,437,215","8,750","30,464,697","26,250","0","0","124,179","57,627","45,194","0","13,088"
"Rocky Mountain NP","ROMO","National Park","Intermountain ","CO",2017,9,"681,160","1,500","4,697,054","1,500","0","0","20,076","11,508","6,496","0","51","Rocky Mountain NP","ROMO","National Park","Intermountain ","CO",2017,"4,437,215","8,750","30,464,697","26,250","0","0","124,179","57,627","45,194","0","13,088"
"Rocky Mountain NP","ROMO","National Park","Intermountain ","CO",2017,10,"332,526","560","2,047,271","560","0","0","1,218","1,032","1,007","0","0","Rocky Mountain NP","ROMO","National Park","Intermountain ","CO",2017,"4,437,215","8,750","30,464,697","26,250","0","0","124,179","57,627","45,194","0","13,088"
"Rocky Mountain NP","ROMO","National Park","Intermountain ","CO",2017,11,"140,223","100","853,960","100","0","0","351","252","186","0","0","Rocky Mountain NP","ROMO","National Park","Intermountain ","CO",2017,"4,437,215","8,750","30,464,697","26,250","0","0","124,179","57,627","45,194","0","13,088"
"Rocky Mountain NP","ROMO","National Park","Intermountain ","CO",2017,12,"112,830","60","685,156","60","0","0","252","144","115","0","0","Rocky Mountain NP","ROMO","National Park","Intermountain ","CO",2017,"4,437,215","8,750","30,464,697","26,250","0","0","124,179","57,627","45,194","0","13,088"
